"taxon_level","genotype","prevalence","is_core","taxon_name"
"Class","LH74/PHN82",0.647,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","PHG39/PHN82",0.467,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","PHW52/PHN82",0.455,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","2369/LH123HT",0.391,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B14A/H95",0.353,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B14A/MO17",0.6,TRUE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B14A/OH43",0.2,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B37/H95",0.421,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B37/MO17",0.387,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B37/OH43",0.341,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B73/MO17",0.4,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B73/PHM49",0.583,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","B73/PHN82",0.455,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","CG119/CG108",0.414,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","CG44/CGR01",0.227,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","F42/H95",0.267,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","F42/MO17",0.333,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
"Class","F42/OH43",0.268,FALSE,"d__Bacteria; p__Chloroflexi; c__Chloroflexia"
