"sampleID","location","rep_number","plot_number","Corrected_pedigree","Observed","Simpson","Shannon"
"INH1-1-145","INH1",1,145,"LH74/PHN82",59,0.970428444444444,3.73947276353396
"INH1-1-17","INH1",1,17,"F42/MO17",22,0.943195555555556,2.97530101917125
"INH1-1-172","INH1",1,172,"B14A/OH43",42,0.966909333333333,3.52783432817104
"INH1-1-206","INH1",1,206,"CG44/CGR01",34,0.949843555555556,3.19400283768953
"INH1-1-26","INH1",1,26,"F42/H95",18,0.925,2.6964961793065
"INH1-1-55","INH1",1,55,"2369/LH123HT",32,0.956766222222222,3.26384357815944
"INH1-1-58","INH1",1,58,"B14A/H95",18,0.936611555555556,2.80747650649708
"INH1-1-6","INH1",1,6,"B37/MO17",20,0.925926222222222,2.7871921905293
"INH1-1-66","INH1",1,66,"B37/OH43",23,0.947113777777778,3.03173358136235
"INH1-1-97","INH1",1,97,"B37/H95",34,0.960533333333333,3.34428116887657
"INH1-2-260","INH1",2,260,"B37/OH43",36,0.945229333333333,3.20359717239511
"INH1-2-265","INH1",2,265,"F42/MO17",15,0.895371555555556,2.41304431491752
"INH1-2-301","INH1",2,301,"B37/H95",17,0.916515555555556,2.60323998654501
"INH1-2-306","INH1",2,306,"PHW52/PHN82",15,0.920101333333333,2.58261777648399
"INH1-2-319","INH1",2,319,"PHG39/PHN82",27,0.937012444444444,2.97923246815186
"INH1-2-395","INH1",2,395,"PHW52/PHM49",26,0.945159111111111,3.0369518621364
"INH1-2-428","INH1",2,428,"B14A/H95",39,0.964736,3.4694300797538
"INH1-2-430","INH1",2,430,"F42/H95",7,0.801189333333333,1.75809375722435
"INH1-2-445","INH1",2,445,"B14A/OH43",22,0.932580444444444,2.84474778741562
"INH1-2-449","INH1",2,449,"CG119/CG108",24,0.939958222222222,2.93702151627446
"MIH1-1-144","MIH1",1,144,"B37/OH43",31,0.948090666666667,3.12296917363991
"MIH1-1-178","MIH1",1,178,"LH74/PHN82",28,0.938333333333333,3.02557617730311
"MIH1-1-212","MIH1",1,212,"B37/H95",14,0.92156,2.58474886830236
"MIH1-1-217","MIH1",1,217,"B14A/OH43",19,0.929439111111111,2.78523035180695
"MIH1-1-28","MIH1",1,28,"B14A/H95",33,0.953448888888889,3.22835413339535
"MIH1-1-6","MIH1",1,6,"PHW52/PHN82",37,0.954791111111111,3.30185156791442
"MIH1-1-8","MIH1",1,8,"F42/OH43",20,0.919810666666667,2.72913660838543
"MIH1-2-296","MIH1",2,296,"F42/MO17",25,0.926351111111111,2.85647087811023
"MIH1-2-367","MIH1",2,367,"CG44/CGR01",22,0.936969777777778,2.89145576509745
"MIH1-2-429","MIH1",2,429,"CG119/CG108",12,0.891187555555556,2.31053865729861
"MIH1-2-454","MIH1",2,454,"B37/OH43",16,0.916980444444444,2.60946328066303
"MIH1-2-471","MIH1",2,471,"B14A/H95",24,0.940153777777778,2.92954140972645
"MIH1-2-474","MIH1",2,474,"PHW52/PHN82",21,0.931224,2.81786210976485
"MNH1-1-140","MNH1",1,140,"B37/OH43",48,0.971855111111111,3.6782438644497
"MNH1-1-175","MNH1",1,175,"F42/OH43",28,0.955099555555556,3.19916215585498
"MNH1-1-185","MNH1",1,185,"B37/MO17",61,0.978095111111111,3.93551410211423
