SampleID	location	pedigree	rep_number	plot_number	Batch	Month	day	year
IAH4-2-1390	IAH4	CG44_CGR01	2	1390	3166	8	7	2019
IAH4-2-1401	IAH4	F42_OH43	2	1401	3166	8	7	2019
IAH4-2-1405	IAH4	2369_LH123HT	2	1405	3166	8	7	2019
IAH4-2-1409	IAH4	B14A_OH43	2	1409	3166	8	7	2019
IAH4-2-1414	IAH4	B73_MO17	2	1414	3166	8	7	2019
IAH4-2-1444	IAH4	B14A_MO17	2	1444	3166	8	7	2019
IAH4-2-1460	IAH4	PHG39_PHN82	2	1460	3166	8	7	2019
IAH4-2-1494	IAH4	B73_PHM49	2	1494	3166	8	7	2019
IAH4-2-1498	IAH4	B37_OH43	2	1498	3166	8	7	2019
IAH4-2-1516	IAH4	B73_PHN82	2	1516	3166	8	7	2019
IAH4-2-1526	IAH4	PHW52_PHM49	2	1526	3166	8	7	2019
IAH4-2-1534	IAH4	B14A_H95	2	1534	3166	8	7	2019
IAH4-2-1536	IAH4	B37_H95	2	1536	3166	8	7	2019
IAH4-2-1570	IAH4	B37_MO17	2	1570	3166	8	7	2019
IAH4-2-802	IAH4	B14A_OH43	2	802	3166	8	7	2019
IAH4-2-821	IAH4	LH74_PHN82	2	821	3166	8	7	2019
IAH4-2-848	IAH4	B37_MO17	2	848	3166	8	7	2019
IAH4-2-854	IAH4	B73_PHM49	2	854	3166	8	7	2019
IAH4-2-941	IAH4	CG44_CGR01	2	941	3166	8	7	2019
IAH4-2-942	IAH4	B73_MO17	2	942	3166	8	7	2019
INH1-1-102	INH1	B73_PHN82	1	102	3167	8	15	2019
INH1-1-127	INH1	B73_PHM49	1	127	3167	8	15	2019
INH1-1-132	INH1	B73_MO17	1	132	3167	8	15	2019
INH1-1-145	INH1	LH74_PHN82	1	145	3167	8	15	2019
INH1-1-151	INH1	PHW52_PHN82	1	151	3167	8	15	2019
INH1-1-172	INH1	B14A_OH43	1	172	3167	8	15	2019
INH1-1-17	INH1	F42_MO17	1	17	3167	8	15	2019
INH1-1-206	INH1	CG44_CGR01	1	206	3167	8	15	2019
INH1-1-219	INH1	PHW52_PHM49	1	219	3167	8	15	2019
INH1-1-230	INH1	F42_OH43	1	230	3167	8	15	2019
INH1-1-26	INH1	F42_H95	1	26	3167	8	15	2019
INH1-1-48	INH1	B14A_MO17	1	48	3167	8	15	2019
INH1-1-55	INH1	2369_LH123HT	1	55	3167	8	15	2019
INH1-1-58	INH1	B14A_H95	1	58	3167	8	15	2019
INH1-1-66	INH1	B37_OH43	1	66	3167	8	15	2019
INH1-1-6	INH1	B37_MO17	1	6	3167	8	15	2019
INH1-1-88	INH1	CG119_CG108	1	88	3167	8	15	2019
INH1-1-97	INH1	B37_H95	1	97	3167	8	15	2019
INH1-2-252	INH1	LH74_PHN82	2	252	3167	8	15	2019
INH1-2-260	INH1	B37_OH43	2	260	3167	8	15	2019
INH1-2-265	INH1	F42_MO17	2	265	3167	8	15	2019
INH1-2-301	INH1	B37_H95	2	301	3167	8	15	2019
INH1-2-306	INH1	PHW52_PHN82	2	306	3167	8	15	2019
INH1-2-319	INH1	PHG39_PHN82	2	319	3167	8	15	2019
INH1-2-337	INH1	B73_PHM49	2	337	3167	8	15	2019
INH1-2-372	INH1	B14A_MO17	2	372	3167	8	15	2019
INH1-2-394	INH1	CG44_CGR01	2	394	3167	8	15	2019
INH1-2-395	INH1	PHW52_PHM49	2	395	3167	8	15	2019
INH1-2-400	INH1	F42_OH43	2	400	3167	8	15	2019
INH1-2-419	INH1	B73_MO17	2	419	3167	8	15	2019
INH1-2-428	INH1	B14A_H95	2	428	3167	8	15	2019
INH1-2-430	INH1	F42_H95	2	430	3167	8	15	2019
INH1-2-445	INH1	B14A_OH43	2	445	3167	8	15	2019
INH1-2-449	INH1	CG119_CG108	2	449	3167	8	15	2019
INH1-2-464	INH1	B37_MO17	2	464	3167	8	15	2019
INH1-2-478	INH1	B73_PHN82	2	478	3167	8	15	2019
MIH1-1-106	MIH1	B73_PHM49	1	106	3167	8	13	2019
MIH1-1-107	MIH1	CG119_CG108	1	107	3167	8	13	2019
MIH1-1-113	MIH1	B37_MO17	1	113	3167	8	13	2019
MIH1-1-115	MIH1	CG44_CGR01	1	115	3167	8	13	2019
MIH1-1-124	MIH1	B14A_MO17	1	124	3167	8	13	2019
MIH1-1-144	MIH1	B37_OH43	1	144	3167	8	13	2019
MIH1-1-166	MIH1	2369_LH123HT	1	166	3167	8	13	2019
MIH1-1-169	MIH1	PHW52_PHM49	1	169	3167	8	13	2019
MIH1-1-178	MIH1	LH74_PHN82	1	178	3167	8	13	2019
MIH1-1-181	MIH1	F42_H95	1	181	3167	8	13	2019
