"taxon_level","genotype","prevalence","is_core","taxon_name"
"Class","B37/MO17",0.933,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B37/OH43",0.85,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B73/MO17",0.923,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B73/PHM49",0.909,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B73/PHN82",0.9,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","CG119/CG108",0.963,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","CG44/CGR01",0.864,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","F42/H95",0.75,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","F42/MO17",0.833,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","F42/OH43",0.875,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","LH74/PHN82",1,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","PHG39/PHN82",0.692,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","PHW52/PHM49",0.941,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","PHW52/PHN82",0.818,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","2369/LH123HT",0.682,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B14A/H95",0.5,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B14A/MO17",0.733,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B14A/OH43",0.526,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B37/H95",0.673,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B37/MO17",0.6,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B37/OH43",0.575,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B73/MO17",0.538,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B73/PHM49",0.636,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B73/PHN82",0.7,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","CG119/CG108",0.481,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","CG44/CGR01",0.591,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","F42/H95",0.583,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","F42/MO17",0.583,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","F42/OH43",0.65,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","LH74/PHN82",0.857,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","PHG39/PHN82",0.538,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","PHW52/PHM49",0.647,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","PHW52/PHN82",0.636,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","2369/LH123HT",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B14A/H95",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B14A/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B14A/OH43",0.895,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B37/H95",0.945,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B37/MO17",0.967,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B37/OH43",0.975,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B73/MO17",0.923,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B73/PHM49",0.909,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B73/PHN82",0.9,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","CG119/CG108",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","CG44/CGR01",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","F42/H95",0.833,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","F42/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","F42/OH43",0.975,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","LH74/PHN82",0.929,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
