"level","taxon","term","SS","pval","herit"
"order","d__Bacteria;p__Firmicutes;c__Bacilli","Environment",171872.210101703,3.18866127768251e-06,0.102947535578713
"order","d__Bacteria;p__Firmicutes;c__Bacilli","Maize Genotype",67688.733784182,0.473057757838863,0.040544008396713
"order","d__Bacteria;p__Firmicutes;c__Bacilli","GXE",624381.792715876,9.61863974472907e-05,0.373990459436589
"order","d__Bacteria;p__Myxococcota;c__Polyangia","Environment",28794.2286473954,3.20889292231663e-06,0.103034963327647
"order","d__Bacteria;p__Myxococcota;c__Polyangia","Maize Genotype",21740.087050422,0.0152264666100162,0.0777929875951963
"order","d__Bacteria;p__Myxococcota;c__Polyangia","GXE",93915.5632631592,0.00106784796810611,0.336059935315898
"order","d__Bacteria;p__Planctomycetota;c__Phycisphaerae","Environment",22828.561858654,2.36498019084098e-05,0.0979014206661443
"order","d__Bacteria;p__Planctomycetota;c__Phycisphaerae","Maize Genotype",13905.2038671947,0.156211654073797,0.059633156993403
"order","d__Bacteria;p__Planctomycetota;c__Phycisphaerae","GXE",74716.1812925028,0.0102643379964498,0.320424052140291
"order","d__Bacteria;p__Planctomycetota;c__Planctomycetes","Environment",417779.2203065,3.32970149008527e-17,0.279712852923888
"order","d__Bacteria;p__Planctomycetota;c__Planctomycetes","Maize Genotype",76620.9572910183,0.253001244286086,0.0512995034600017
"order","d__Bacteria;p__Planctomycetota;c__Planctomycetes","GXE",250913.658269906,0.880957669596369,0.167992498862809
"order","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria","Environment",555571.444842426,1.42431396187574e-05,0.1027370541485
"order","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria","Maize Genotype",286969.967924236,0.274446651493356,0.053066890689437
"order","d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria","GXE",1702549.78566782,0.016666289204665,0.3148379045476
"order","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria","Environment",4534696.05085881,2.53589267386882e-19,0.28093239067182
"order","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria","Maize Genotype",865766.57020344,0.117522593396672,0.0536357607220292
"order","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria","GXE",3567098.19564061,0.142684533304556,0.22098800286133
"order","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae","Environment",81005.6566928157,5.47428855809245e-08,0.131642604353805
"order","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae","Maize Genotype",47275.1479527645,0.0210104577028102,0.0768270248251111
"order","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae","GXE",182307.192751872,0.0152852610154405,0.296268120352341
"family","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae","Environment",31037.337457997,5.37960673885216e-09,0.143289321263591
"family","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae","Maize Genotype",8315.60930715878,0.54014637391395,0.0383904713195355
"family","d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrososphaeraceae","GXE",72403.3868208069,0.0012375487465581,0.334262955666821
"family","d__Bacteria;__;__;__;__","Environment",25839.0889276236,0.00619654450574607,0.0748072135687009
"family","d__Bacteria;__;__;__;__","Maize Genotype",8092.97679867681,0.98515580856898,0.0234301234645287
